NIP,Label,MD,MI,MS,MC,LD,LI,LS,LC,CD,CI,CS,CC,N,G,A,L,P,I,T,V,X,S,B,O,R,D,C,Z,E,K,F,W,DA,FLX,KM,KN,KP,KV,KS,KI,LB,MB,OH,PM,SK
21697734,HA,5,6,3,5,6,5,2,4,-1,1,1,1,6,3,4,7,7,6,5,1,3,7,4,4,4,4,4,6,4,3,2,6,3,3,3,5,4,4,4,3,4,3,3,3,3
21727731,HA,4,2,7,2,6,4,3,5,-2,-2,4,-3,4,8,6,4,5,3,3,4,1,8,2,6,4,7,3,7,1,3,3,8,2,3,2,1,2,1,3,2,2,3,3,2,3
21727718,HD,8,4,4,6,7,6,4,3,1,-2,0,3,8,7,6,6,6,4,4,4,2,1,4,3,7,6,3,6,3,7,3,5,3,3,3,5,4,2,3,2,3,4,3,3,3
21697709,HA,8,4,5,4,3,4,8,3,5,0,-3,1,8,7,7,6,4,1,4,3,2,3,7,2,6,7,6,5,2,3,2,5,3,3,4,2,4,2,2,3,2,3,4,4,3
21717718,HA,2,1,8,6,8,8,1,1,-6,-7,7,5,7,8,8,4,4,4,3,3,4,4,6,3,5,8,3,2,3,2,2,7,1,2,2,2,4,2,2,3,2,2,3,2,3
21697751,HA,3,1,7,5,7,9,1,3,-4,-8,6,2,8,4,6,1,5,4,4,2,4,7,4,6,5,5,7,3,6,1,1,7,2,3,1,2,3,3,3,3,2,3,4,2,3
21707714,HA,2,3,10,3,7,2,1,7,-5,1,9,-4,6,5,2,4,6,6,7,4,0,7,7,5,4,4,1,5,3,4,4,6,2,4,2,1,3,3,3,3,2,2,3,3,2
21717730,HA,2,5,6,4,10,6,2,2,-8,-1,4,2,8,7,6,3,4,3,1,3,2,9,5,6,3,4,7,4,5,3,2,5,2,3,2,3,4,2,3,3,2,3,4,3,4
21727711,HA,3,2,5,7,10,4,1,5,-7,-2,4,2,7,3,7,4,6,6,4,0,3,2,1,6,7,7,6,5,6,5,3,4,2,3,2,1,4,3,2,2,2,3,4,3,4
21747713,HA,3,2,9,3,7,3,3,5,-4,-1,6,-2,6,6,7,4,3,4,4,4,1,6,5,4,6,3,3,5,5,5,5,6,1,3,1,1,4,1,3,3,2,3,4,3,3
21697752,HA,6,1,8,4,7,3,1,6,-1,-2,7,-2,7,7,4,2,4,2,2,5,1,5,3,4,5,7,4,4,6,6,5,7,3,3,1,2,3,4,3,3,3,2,4,3,3
21737732,HA,1,2,10,2,9,4,2,4,-8,-2,8,-2,8,2,3,3,2,2,5,4,3,7,7,4,7,7,4,3,4,1,6,8,2,3,1,3,3,2,3,3,2,2,3,2,3
21747739,HA,3,4,7,6,4,8,4,4,-1,-4,3,2,8,4,3,1,2,4,5,1,4,6,4,7,7,2,8,3,7,4,5,5,2,3,1,2,3,2,2,3,2,2,3,2,3
21747724,HA,4,4,6,5,6,6,2,5,-2,-2,4,0,5,4,5,6,6,6,3,4,0,6,6,3,6,1,6,7,3,6,2,8,1,2,2,1,3,1,3,3,1,2,3,2,3
21757729,HA,6,1,4,6,8,6,2,4,-2,-5,2,2,6,4,5,5,3,5,5,1,5,3,5,6,5,7,6,5,4,7,3,6,2,3,2,1,4,4,3,3,3,2,4,3,4
21697742,HA,8,2,4,6,4,4,3,6,4,-2,1,0,4,7,6,8,8,5,5,6,2,2,3,3,3,3,3,7,3,4,2,6,2,3,4,2,4,2,2,2,2,3,3,4,3
21727720,HA,6,3,6,3,7,4,4,2,-1,-1,2,1,8,6,7,3,5,5,1,4,2,7,3,5,4,3,7,4,5,3,2,6,1,3,2,1,4,1,3,3,1,3,4,3,4
21737712,HA,7,2,4,5,7,3,3,4,0,-1,1,1,8,6,7,9,6,1,5,6,0,6,7,5,3,4,3,6,2,7,2,5,4,3,2,5,4,5,3,3,5,3,4,3,3
21737720,HA,2,3,7,5,7,4,3,5,-5,-1,4,0,8,4,8,3,4,3,2,5,3,6,3,3,3,9,8,5,2,6,4,5,1,3,1,4,3,1,3,3,2,2,3,2,2
21767735,Dn,9,3,1,7,4,8,8,2,5,-5,-7,5,4,6,7,7,6,6,4,3,2,1,4,2,8,4,4,6,2,7,4,3,3,2,4,4,4,4,2,2,4,4,4,4,3
